2025-09-07 09:48:12.497 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471843 t_to_off=None inplay=False runners=8
2025-09-07 09:48:12.497 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471411: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:12.497 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471411 t_to_off=None inplay=False runners=6
2025-09-07 09:48:12.498 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471541: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:12.498 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471541 t_to_off=None inplay=False runners=8
2025-09-07 09:48:12.498 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471731: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:12.498 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471731 t_to_off=None inplay=False runners=7
2025-09-07 09:48:12.498 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471848: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:12.498 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471848 t_to_off=None inplay=False runners=8
2025-09-07 09:48:13.796 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471340: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:13.796 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471340 t_to_off=None inplay=False runners=8
2025-09-07 09:48:13.797 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471416: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:13.797 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471416 t_to_off=None inplay=False runners=5
2025-09-07 09:48:13.798 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471546: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:13.798 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471546 t_to_off=None inplay=False runners=8
2025-09-07 09:48:13.798 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471733: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:13.799 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471733 t_to_off=None inplay=False runners=6
2025-09-07 09:48:13.799 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471345: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:13.799 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471345 t_to_off=None inplay=False runners=7
2025-09-07 09:48:13.800 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471421: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:13.800 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471421 t_to_off=None inplay=False runners=7
2025-09-07 09:48:13.800 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471853: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:13.801 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471853 t_to_off=None inplay=False runners=7
2025-09-07 09:48:13.801 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471858: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:13.801 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471858 t_to_off=None inplay=False runners=8
2025-09-07 09:48:15.076 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471350: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471350 t_to_off=None inplay=False runners=8
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471355: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471355 t_to_off=None inplay=False runners=8
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471426: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471426 t_to_off=None inplay=False runners=5
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471863: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471863 t_to_off=None inplay=False runners=8
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471360: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471360 t_to_off=None inplay=False runners=8
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471431: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471431 t_to_off=None inplay=False runners=5
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471436: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471436 t_to_off=None inplay=False runners=5
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471868: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.077 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471868 t_to_off=None inplay=False runners=8
2025-09-07 09:48:15.640 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471365: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.640 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471365 t_to_off=None inplay=False runners=8
2025-09-07 09:48:15.640 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471370: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:15.640 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471370 t_to_off=None inplay=False runners=8
2025-09-07 09:48:17.913 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471491: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:17.913 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471491 t_to_off=None inplay=False runners=8
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471496: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471496 t_to_off=None inplay=False runners=8
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471713: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471713 t_to_off=None inplay=False runners=7
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471715: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471715 t_to_off=None inplay=False runners=5
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471501: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471501 t_to_off=None inplay=False runners=7
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471506: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:17.914 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471506 t_to_off=None inplay=False runners=6
2025-09-07 09:48:17.915 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471717: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:17.915 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471717 t_to_off=None inplay=False runners=7
2025-09-07 09:48:17.915 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471719: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:17.915 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471719 t_to_off=None inplay=False runners=7
2025-09-07 09:48:19.192 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471511: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:19.193 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471511 t_to_off=None inplay=False runners=8
2025-09-07 09:48:19.193 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471721: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:19.193 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471721 t_to_off=None inplay=False runners=7
2025-09-07 09:48:19.193 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471813: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:19.193 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471813 t_to_off=None inplay=False runners=8
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471818: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471818 t_to_off=None inplay=False runners=8
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471386: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471386 t_to_off=None inplay=False runners=5
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471516: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471516 t_to_off=None inplay=False runners=7
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471723: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471723 t_to_off=None inplay=False runners=7
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471823: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:19.194 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471823 t_to_off=None inplay=False runners=8
2025-09-07 09:48:20.469 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471315: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:20.469 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471315 t_to_off=None inplay=False runners=8
2025-09-07 09:48:20.469 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471391: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471391 t_to_off=None inplay=False runners=5
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471521: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471521 t_to_off=None inplay=False runners=8
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471828: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471828 t_to_off=None inplay=False runners=8
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471320: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471320 t_to_off=None inplay=False runners=8
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471396: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471396 t_to_off=None inplay=False runners=6
2025-09-07 09:48:20.470 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471526: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:20.471 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471526 t_to_off=None inplay=False runners=7
2025-09-07 09:48:20.471 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471725: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:20.471 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471725 t_to_off=None inplay=False runners=8
2025-09-07 09:48:21.762 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471325: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:21.762 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471325 t_to_off=None inplay=False runners=8
2025-09-07 09:48:21.762 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471401: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:21.762 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471401 t_to_off=None inplay=False runners=5
2025-09-07 09:48:21.762 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471727: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:21.762 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471727 t_to_off=None inplay=False runners=6
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471833: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471833 t_to_off=None inplay=False runners=8
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471330: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471330 t_to_off=None inplay=False runners=8
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471406: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471406 t_to_off=None inplay=False runners=6
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471531: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471531 t_to_off=None inplay=False runners=8
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471838: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:21.763 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471838 t_to_off=None inplay=False runners=8
2025-09-07 09:48:23.086 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471335: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:23.086 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471335 t_to_off=None inplay=False runners=8
2025-09-07 09:48:23.086 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471536: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:23.086 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471536 t_to_off=None inplay=False runners=7
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471729: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471729 t_to_off=None inplay=False runners=6
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471843: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471843 t_to_off=None inplay=False runners=8
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471411: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471411 t_to_off=None inplay=False runners=6
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471541: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471541 t_to_off=None inplay=False runners=8
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471731: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:23.087 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471731 t_to_off=None inplay=False runners=7
2025-09-07 09:48:23.088 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471848: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
